customer_id,customer_fname,customer_lname,username,password,address,city,state,pincode
11599,aaaa,ccc,XXXX,XXXX,1244 RIVERVALERD,MALAYSIA,MY,342111
11600,bbbb,dddd,XXXX,XXXX,1245 RIVERVALERD,INDIA,IN,3421123
11601,ccc,eeee,XXXX,XXXX,1246 RIVERVALERD,UNITEDSTATES,USA,342223
11602,dddd,fffff,XXXX,XXXX,1247 RIVERVALERD,SINGAPORE,SINGAPORE,342114
11603,eeee,dddd,XXXX,XXXX,1248 RIVERVALERD,SINGAPORE,SINGAPORE,342115
11604,fffff,eeee,XXXX,XXXX,1249 RIVERVALERD,SINGAPORE,SINGAPORE,342116
11605,aaaa,fffff,XXXX,XXXX,1250 RIVERVALERD,SINGAPORE,SINGAPORE,342117
11606,bbbb,aaaa,XXXX,XXXX,1251 RIVERVALERD,SINGAPORE,SINGAPORE,342118
11607,ccc,bbbb,XXXX,XXXX,1252 RIVERVALERD,SINGAPORE,SINGAPORE,342119
11608,dddd,dddd,XXXX,XXXX,1253 RIVERVALERD,SINGAPORE,SINGAPORE,342120
11609,eeee,eeee,XXXX,XXXX,1254 RIVERVALERD,SINGAPORE,SINGAPORE,342121
11610,fffff,fffff,XXXX,XXXX,1255 RIVERVALERD,SINGAPORE,SINGAPORE,342122
11611,aaaa,aaaa,XXXX,XXXX,1256 RIVERVALERD,SINGAPORE,SINGAPORE,342123
11612,bbbb,bbbb,XXXX,XXXX,1257 RIVERVALERD,SINGAPORE,SINGAPORE,342124
11613,ccc,dddd,XXXX,XXXX,1258 RIVERVALERD,SINGAPORE,SINGAPORE,342125
11614,dddd,eeee,XXXX,XXXX,1259 RIVERVALERD,SINGAPORE,SINGAPORE,342126
11615,eeee,fffff,XXXX,XXXX,1260 RIVERVALERD,SINGAPORE,SINGAPORE,342127
11616,fffff,aaaa,XXXX,XXXX,1261 RIVERVALERD,SINGAPORE,SINGAPORE,342128
11617,aaaa,bbbb,XXXX,XXXX,1262 RIVERVALERD,SINGAPORE,SINGAPORE,342129
11618,bbbb,ccc,XXXX,XXXX,1263 RIVERVALERD,SINGAPORE,SINGAPORE,342130
11619,ccc,dddd,XXXX,XXXX,1264 RIVERVALERD,SINGAPORE,SINGAPORE,342131
11620,dddd,eeee,XXXX,XXXX,1265 RIVERVALERD,SINGAPORE,SINGAPORE,342132
11621,eeee,ccc,XXXX,XXXX,1266 RIVERVALERD,SINGAPORE,SINGAPORE,342133
11622,fffff,dddd,XXXX,XXXX,1267 RIVERVALERD,SINGAPORE,SINGAPORE,342134
